code,name
01,Kundenfahrzeug
02,Lagerfahrzeug
03,Wettbewerb
05,Konsignation
06,Dienstwagen
07,Einsatzwagen
08,Vorführwagen
09,Sponsorfahrzeug
10,Pressefahrzeug
11,Funktionsfahrzeug
12,Totalmobil-Servicemobil
13,Mietwagen RAC-Firma
14,Mietwagen Partner
15,Mitarb. AMAG Group AG
17,Behördenfahrzeug
18,Instruktorfahrzeug
19,Totalschaden
20,Ausstellungsfahrzeug
21,Schulungsfahrzeug
22,Markteinführungsfahrzeug
23,Ersatzwagen
24,Showroom Fahrzeug
25,Diebstahl
26,Minderwert
27,Importeurs Kunden Fahrzeug
33,Eigenzulassungen
